epoch,train_loss,train_oa,val_loss,val_oa,val_macc,lr,epoch_time_s
185,1.786039,0.782012,1.730881,0.792139,0.711366,0.00002368,87.5
186,1.784270,0.777439,1.732484,0.798217,0.712866,0.00002192,87.0
187,1.784457,0.778760,1.727833,0.792139,0.714663,0.00002028,87.0
188,1.789228,0.776423,1.728333,0.798217,0.723616,0.00001877,87.6
189,1.787791,0.774390,1.720223,0.800243,0.718453,0.00001737,88.4
190,1.784778,0.779878,1.730066,0.791329,0.701820,0.00001609,88.0
191,1.778051,0.781707,1.736002,0.785251,0.705750,0.00001494,87.4
192,1.788669,0.781301,1.727323,0.793760,0.706907,0.00001390,87.6
193,1.787189,0.776118,1.735582,0.793760,0.708913,0.00001299,87.1
194,1.784539,0.777947,1.740991,0.792139,0.713622,0.00001220,87.3
195,1.784885,0.778760,1.728454,0.799028,0.721698,0.00001153,87.7
196,1.790117,0.775203,1.726985,0.802269,0.719988,0.00001098,87.0
197,1.784266,0.776321,1.724932,0.786872,0.705035,0.00001055,87.5
198,1.781566,0.775203,1.722803,0.797002,0.709616,0.00001024,87.1
199,1.791466,0.776728,1.736539,0.794571,0.713907,0.00001006,87.1
200,1.776561,0.782622,1.728698,0.790113,0.709529,0.00001000,86.9
